course_id,full_course_id
ARCH&UD 142,Architecture and Urban Design 142
ARCH&UD CM153,Architecture and Urban Design CM153
ARCH&UD C188CS,Architecture and Urban Design C188CS
ARCH&UD C188T,Architecture and Urban Design C188T
ARCH&UD 199,Architecture and Urban Design 199
ARCH&UD 222,Architecture and Urban Design 222
ARCH&UD CM247A,Architecture and Urban Design CM247A
ARCH&UD 289,Architecture and Urban Design 289
ARCH&UD 290,Architecture and Urban Design 290
ARCH&UD 401,Architecture and Urban Design 401
ARCH&UD 403B,Architecture and Urban Design 403B
ARCH&UD 412,Architecture and Urban Design 412
ARCH&UD 414,Architecture and Urban Design 414
ARCH&UD 432,Architecture and Urban Design 432
ARCH&UD 436,Architecture and Urban Design 436
ARCH&UD 441,Architecture and Urban Design 441
ARCH&UD 496,Architecture and Urban Design 496
ARCH&UD 596,Architecture and Urban Design 596
ARCH&UD 597,Architecture and Urban Design 597
ARCH&UD 598,Architecture and Urban Design 598
ARCH&UD 599,Architecture and Urban Design 599
ARCHEOL M201B,Archaeology M201B
ARCHEOL M205A,Archaeology M205A
ARCHEOL 596,Archaeology 596
ARCHEOL 597,Archaeology 597
ARCHEOL 598,Archaeology 598
ARCHEOL 599,Archaeology 599
ART 1A,Art 1A
ART 1B,Art 1B
ART 11A,Art 11A
ART 11B,Art 11B
ART 11D,Art 11D
ART 11E,Art 11E
ART 21A,Art 21A
ART 31B,Art 31B
ART 130A,Art 130A
ART 132,Art 132
ART 133,Art 133
ART 133A,Art 133A
ART 137A,Art 137A
ART 140,Art 140
ART 145,Art 145
ART 147,Art 147
ART 148,Art 148
ART 149,Art 149
ART 150,Art 150
ART M184,Art M184
ART 190,Art 190
ART 195,Art 195
ART 197,Art 197
ART 198,Art 198
ART 271,Art 271
ART 273,Art 273
ART 274,Art 274
ART 275,Art 275
ART 276,Art 276
ART 277,Art 277
ART 278,Art 278
ART 279,Art 279
ART C280,Art C280
ART 596,Art 596
ART HIS 23,Art History 23
ART HIS 30,Art History 30
ART HIS 99,Art History 99
ART HIS M110D,Art History M110D
ART HIS M112C,Art History M112C
ART HIS M119C,Art History M119C
ART HIS 130,Art History 130
ART HIS 132,Art History 132
ART HIS 143,Art History 143
ART HIS C170A,Art History C170A
ART HIS 185,Art History 185
ART HIS 195,Art History 195
ART HIS 197A,Art History 197A
ART HIS 198A,Art History 198A
ART HIS 200,Art History 200
ART HIS 203,Art History 203
ART HIS C214D,Art History C214D
ART HIS 217C,Art History 217C
ART HIS 596,Art History 596
ART HIS 597,Art History 597
ART HIS 598,Art History 598
ART HIS 599,Art History 599
ART&ARC 10,Arts and Architecture 10
ASIA AM M18,Asian American Studies M18
ASIA AM 30W,Asian American Studies 30W
ASIA AM 50,Asian American Studies 50
ASIA AM 103,Asian American Studies 103
ASIA AM 109,Asian American Studies 109
ASIA AM M112B,Asian American Studies M112B
ASIA AM 113,Asian American Studies 113
ASIA AM M114,Asian American Studies M114
ASIA AM 120,Asian American Studies 120
ASIA AM M124,Asian American Studies M124
ASIA AM 131A,Asian American Studies 131A
ASIA AM 133,Asian American Studies 133
ASIA AM C142B,Asian American Studies C142B
ASIA AM M151,Asian American Studies M151
ASIA AM M166A,Asian American Studies M166A
ASIA AM 175B,Asian American Studies 175B
ASIA AM 198B,Asian American Studies 198B
ASIA AM 199,Asian American Studies 199
ASIA AM 200B,Asian American Studies 200B
ASIA AM C242B,Asian American Studies C242B
ASIA AM 297A,Asian American Studies 297A
ASIA AM 596,Asian American Studies 596
ASIA AM 597,Asian American Studies 597
ASIA AM 598,Asian American Studies 598
ASIAN 30,Asian Languages and Cultures 30
ASIAN 40,Asian Languages and Cultures 40
ASIAN 151,Asian Languages and Cultures 151
ASIAN 184,Asian Languages and Cultures 184
ASIAN 198B,Asian Languages and Cultures 198B
ASIAN 204B,Asian Languages and Cultures 204B
ASIAN 205,Asian Languages and Cultures 205
ASIAN 206B,Asian Languages and Cultures 206B
ASIAN 299,Asian Languages and Cultures 299
ASIAN 596,Asian Languages and Cultures 596
ASIAN 597,Asian Languages and Cultures 597
ASIAN 598,Asian Languages and Cultures 598
