course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Savage, V.M."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Schlinger, B."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Shaffer, B."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Smith, T.B."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Sork, V."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Taylor, C.E."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Van Valkenburgh, B"
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Wayne, R."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Yeh, P.J."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Sears, K.E."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Zapata, F."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Pinter-Wollman, N."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"MacDonald, G.M."
EE BIOL 193,Ecology and Evolutionary Biology 193,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Ordway, E."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Alfaro, M.E."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Barber, P.H."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Blumstein, D.T."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Kremer, C.T."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Fong, P.M."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Tingley, M.W."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Grether, G.F."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Garud, N."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Jacobs, D.K."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Kraft, N."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Lloyd-Smith, J.O."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Lohmueller, K.E."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Narins, P.M."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Nonacs, P.N."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Rundel, P.W."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Sack, L."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Savage, V.M."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Schlinger, B."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Shaffer, B."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Smith, T.B."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Sork, V."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Taylor, C.E."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Van Valkenburgh, B"
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Wayne, R."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Yeh, P.J."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Sears, K.E."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Zapata, F."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Pinter-Wollman, N."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"MacDonald, G.M."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Ordway, E."
EE BIOL 194B,Ecology and Evolutionary Biology 194B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Ecology  Evolutionary Biology 198A', 'Ecology  Evolutionary Biology 198B', 'Ecology  Evolutionary Biology 198C', 'Ecology  Evolutionary Biology 198D']}, 'Ecology  Evolutionary Biology 199']}",UNSCHED,12:00 am,12:00 am,,,"Knowles, B."
EE BIOL C202,Ecology and Evolutionary Biology C202,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Life Sciences 40', 'Statistics 10', 'Statistics 13']}]}",T,01:00 pm,02:50 pm,LS,02320,"Lohmueller, K.E.; Garud, N."
EE BIOL C234,Ecology and Evolutionary Biology C234,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Life Sciences 1', 'Life Sciences 7B']}]}",MW,11:00 am,11:50 am,BOTANY,00108,"Song, C."
DUTCH 103B,European Languages and Transcultural Studies 103B,"{'type': 'AND', 'conditions': ['Dutch  Afrikaans 103A']}",MWF,01:00 pm,01:50 pm,ONLINE,00000LA,"Brier, M.F."
ELTS 188SB,European Languages and Transcultural Studies 188SB,"{'type': 'AND', 'conditions': ['European Languages  Transcultural Studies 188SA', {'type': 'OR', 'conditions': ['Honors Collegium 101E']}]}",,12:00 am,12:00 am,,,"Kim, D."
FRNCH 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['French 1']}",MWF,01:00 pm,01:50 pm,HAINES,A00024,"Duskic, J.; Bjekovic, N."
FRNCH 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['French 1']}",MWF,10:00 am,10:50 am,ROYCE,00152,"Tuiet, P.; Bjekovic, N."
FRNCH 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['French 1']}",MWF,11:00 am,11:50 am,ROYCE,00152,"Heaner, M.; Bjekovic, N."
FRNCH 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['French 1']}",MWF,12:00 pm,12:50 pm,ROYCE,00152,"Recordon, O.; Bjekovic, N."
FRNCH 3,European Languages and Transcultural Studies 3,"{'type': 'AND', 'conditions': ['French 2']}",MWF,10:00 am,10:50 am,KAUFMAN,00153,"Denie Higney, L.M."
FRNCH 3,European Languages and Transcultural Studies 3,"{'type': 'AND', 'conditions': ['French 2']}",MWF,11:00 am,11:50 am,BUNCHE,03123,"Duval, E."
FRNCH 3,European Languages and Transcultural Studies 3,"{'type': 'AND', 'conditions': ['French 2']}",MWF,12:00 pm,12:50 pm,HAINES,A00024,"Melikyan, A.; Bjekovic, N."
FRNCH 4,European Languages and Transcultural Studies 4,"{'type': 'AND', 'conditions': ['French 3']}",MWF,09:00 am,09:50 am,ROYCE,00152,"Colon, E."
FRNCH 4,European Languages and Transcultural Studies 4,"{'type': 'AND', 'conditions': ['French 3']}",MWF,01:00 pm,01:50 pm,BUNCHE,03123,"Barger, A.; Bjekovic, N."
FRNCH 5,European Languages and Transcultural Studies 5,"{'type': 'AND', 'conditions': ['French 4']}",MWF,10:00 am,10:50 am,HAINES,A00020,"Colon, E."
FRNCH 5,European Languages and Transcultural Studies 5,"{'type': 'AND', 'conditions': ['French 4']}",MWF,12:00 pm,12:50 pm,BUNCHE,03123,"Colon, E."
FRNCH 6,European Languages and Transcultural Studies 6,"{'type': 'AND', 'conditions': ['French 5']}",MWF,10:00 am,10:50 am,BUNCHE,03123,"Von Zur Muehlen, E; Bjekovic, N."
FRNCH 101,European Languages and Transcultural Studies 101,"{'type': 'AND', 'conditions': ['French 100']}",MWF,01:00 pm,01:50 pm,ROYCE,00152,"Denie Higney, L.M."
FRNCH 108,European Languages and Transcultural Studies 108,"{'type': 'AND', 'conditions': ['French 5']}",MW,09:30 am,10:45 am,PUB AFF,02292,"Thomas, D.R."
FRNCH 130,European Languages and Transcultural Studies 130,"{'type': 'AND', 'conditions': ['French 5']}",M,02:00 pm,04:50 pm,ROYCE,00152,"Murat, L."
FRNCH 133,European Languages and Transcultural Studies 133,"{'type': 'AND', 'conditions': ['French 5']}",MW,11:00 am,12:15 pm,PUB AFF,01264,"Murat, L."
GERMAN 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['German 1']}",,,,ONLINE,00000AS,"Tarnawska Senel, M"
GERMAN 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['German 1']}",MWF,09:00 am,09:50 am,ONLINE,00000LA,"Tovey, C.E."
GERMAN 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['German 1']}",MWF,11:00 am,11:50 am,HAINES,A00074,"Vanegas, V.; Bjekovic, N."
GERMAN 3,European Languages and Transcultural Studies 3,"{'type': 'AND', 'conditions': ['German 2']}",MWF,11:00 am,11:50 am,HAINES,A00024,"Gabriel, V."
GERMAN 5,European Languages and Transcultural Studies 5,"{'type': 'AND', 'conditions': ['German 4']}",MWF,12:00 pm,12:50 pm,HAINES,A00074,"Gabriel, V."
GERMAN 140,European Languages and Transcultural Studies 140,"{'type': 'AND', 'conditions': ['German 6']}",MW,11:00 am,12:15 pm,BUNCHE,02168,"Stevens, C.M."
ITALIAN 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['Italian 1']}",TR,09:30 am,10:45 am,HAINES,A00074,"Lugnan, F.; Bjekovic, N."
ITALIAN 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['Italian 1']}",TR,11:00 am,12:15 pm,HAINES,A00024,"Dante, I.; Bjekovic, N."
ITALIAN 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['Italian 1']}",TR,12:30 pm,01:45 pm,ROYCE,00152,"Falbo, M."
ITALIAN 3,European Languages and Transcultural Studies 3,"{'type': 'AND', 'conditions': ['Italian 2']}",TR,11:00 am,12:15 pm,HAINES,A00074,"Truong, H.T."
ITALIAN 4,European Languages and Transcultural Studies 4,"{'type': 'AND', 'conditions': ['Italian 3']}",TR,12:30 pm,01:45 pm,HAINES,A00024,"Bjekovic, N.; Kim, H."
ITALIAN 5,European Languages and Transcultural Studies 5,"{'type': 'AND', 'conditions': ['Italian 4']}",TR,02:00 pm,03:15 pm,HAINES,A00024,"Di Rienzo, D.; Bjekovic, N."
ITALIAN 6,European Languages and Transcultural Studies 6,"{'type': 'AND', 'conditions': ['Italian 5']}",TR,02:00 pm,03:15 pm,ROYCE,00152,"Blaisdell, M.; Bjekovic, N."
ITALIAN 100,European Languages and Transcultural Studies 100,"{'type': 'AND', 'conditions': ['Italian 5']}",MW,02:00 pm,03:15 pm,HAINES,A00074,"Bjekovic, N."
SCAND 2,European Languages and Transcultural Studies 2,"{'type': 'AND', 'conditions': ['Scandinavian 1']}",TR,09:00 am,10:40 am,ONLINE,00000LA,"Karlsson, E.J."
SCAND 12,European Languages and Transcultural Studies 12,"{'type': 'AND', 'conditions': ['Scandinavian 11']}",TR,09:30 am,10:45 am,ONLINE,00000LA,"Wen, P.J."
SCAND 188SB,European Languages and Transcultural Studies 188SB,"{'type': 'AND', 'conditions': ['Scandinavian 188SA']}",VAR,12:00 am,12:00 am,,,"Ball, K.A."
YIDDSH 101B,European Languages and Transcultural Studies 101B,"{'type': 'AND', 'conditions': ['Yiddish 101A']}",TR,10:00 am,11:50 am,BUNCHE,02173,"Koral, M.R."
ENGL 4W,English 4W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",TR,10:00 am,11:50 am,SLICHTR,02834,"Meagher, M.R.; McEachern, C."
ENGL 4W,English 4W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",TR,04:00 pm,05:50 pm,KAPLAN,A00048,"Barrios, V.; McEachern, C."
ENGL 4W,English 4W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",MW,02:00 pm,03:50 pm,ROLFE,03134,"Wu, S.; McEachern, C."
ENGL 4W,English 4W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",MW,12:00 pm,01:50 pm,ROYCE,00166,"Swanson, M.C.; McEachern, C."
ENGL 10B,English 10B,"{'type': 'AND', 'conditions': ['English Composition 3', 'English 4W', 'English 10A']}",TR,09:30 am,10:45 am,KNSY PV,01200B,"Kareem, S.T."
ENGL 10C,English 10C,"{'type': 'AND', 'conditions': ['English 4W', 'English Composition 3']}",MW,11:00 am,12:15 pm,FOWLER,A00139,"Bristow, J.E."
ENGL 11,English 11,"{'type': 'AND', 'conditions': ['English Composition 3', 'English 4W']}",MW,12:30 pm,01:45 pm,ROYCE,00162,"Decker, J.L."
ENGL 20W,English 20W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",TR,02:00 pm,03:50 pm,SLICHTR,02834,"Box, A.; McEachern, C."
ENGL 20W,English 20W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",TR,12:00 pm,01:50 pm,ROLFE,03108,"Christensen, C.; McEachern, C."
ENGL 87,English 87,"{'type': 'AND', 'conditions': ['English Composition 3', 'English 4W', 'English 11']}",T,12:00 pm,02:50 pm,ROLFE,03120,"Hyde, C.L."
ENGL 91D,English 91D,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Satisfaction of Entry-Level Writing Requirement', 'English Composition 2']}]}",TR,11:00 am,12:15 pm,KNSY PV,01200B,"Snelson, D.S."
ENGL 100,English 100,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3']}]}",TR,12:30 pm,01:45 pm,PERLOFF,01102,"McMillan, U.G."
ENGL M101A,English M101A,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3']}]}",MW,12:00 pm,01:50 pm,BUNCHE,03153,"Turner, C."
ENGL M101B,English M101B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3']}]}",TR,04:00 pm,05:50 pm,BUNCHE,03153,"Little, A.L."
ENGL M102B,English M102B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",W,12:00 pm,02:50 pm,ROLFE,03121,"Wang, X."
ENGL M104B,English M104B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",MW,04:00 pm,05:50 pm,DODD,00078,"Streeter, C.A."
