course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
ART 147,Art 147,"{'type': 'AND', 'conditions': ['Art 11B']}",MW,01:00 pm,04:50 pm,BROAD,01145,"Lipps, M.D.; Vetter, A."
ART 148,Art 148,"{'type': 'AND', 'conditions': ['Art 11E']}",TR,08:00 am,11:50 am,BROAD,01275,"Morgin, K.L.; Aguilar, G."
ART 149,Art 149,"{'type': 'AND', 'conditions': ['Art 31A', 'Art 31B', 'Art 31C']}",MW,01:00 pm,03:50 pm,BROAD,01131,"Smith, C."
ART 190,Art 190,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Art 197', 'Art 198']}]}",F,09:30 am,12:20 pm,BROAD,01145,"Li, F.; Jugdeo, V."
ART 197,Art 197,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Morris, R.J."
ART 197,Art 197,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Valenzuela, R.A."
ART 197,Art 197,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Sew Hoy, A.M."
ART 197,Art 197,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Smith, C."
ART 197,Art 197,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Lin, C.C."
ART 197,Art 197,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"McMillian, R.T."
ART 198,Art 198,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Jugdeo, V."
ART 198,Art 198,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Smith, C."
ART 198,Art 198,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"Perlman, H."
ART 198,Art 198,"{'type': 'AND', 'conditions': ['Art 190']}",VAR,12:00 am,12:00 am,,,"McMillian, R.T."
ART HIS M112C,Art History M112C,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Art History 20', 'Classics 10', 'Classics 51A']}]}",MW,11:00 am,12:15 pm,DODD,00146,"Schneller, D."
ART HIS 130,Art History 130,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Art History 23']}]}",TR,02:00 pm,03:15 pm,DODD,00146,"Medvedev, N."
ART HIS 132,Art History 132,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Art History 23']}]}",MW,09:30 am,10:45 am,DODD,00146,"Khimasia, A."
ART HIS 195,Art History 195,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Art History C170A']}]}",VAR,12:00 am,12:00 am,,,"Barber, T.E."
ASIA AM 30W,Asian American Studies 30W,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3']}]}",TR,03:30 pm,04:45 pm,HAINES,00118,"Chea, J."
ASIA AM M112B,Asian American Studies M112B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",W,12:00 pm,02:50 pm,ROLFE,03121,"Wang, X."
ASIA AM 198B,Asian American Studies 198B,"{'type': 'AND', 'conditions': ['Asian American Studies 198A']}",VAR,12:00 am,12:00 am,,,"Sangalang, C.C."
ASIA AM 199,Asian American Studies 199,"{'type': 'AND', 'conditions': ['Asian American Studies 10', 'Asian American Studies 20']}",VAR,12:00 am,12:00 am,,,"Mankekar, P."
ASIA AM 199,Asian American Studies 199,"{'type': 'AND', 'conditions': ['Asian American Studies 10', 'Asian American Studies 20']}",VAR,12:00 am,12:00 am,,,"Cheung, K."
ASIA AM 199,Asian American Studies 199,"{'type': 'AND', 'conditions': ['Asian American Studies 10', 'Asian American Studies 20']}",VAR,12:00 am,12:00 am,,,"Tamai, L.Y."
